序号,可溶性固形物（SSC）,酸碱性（PH）,果皮硬度（N）,色差,maturity_label,maturity_name
360,10.6,3.01,924.006,20.5335712177425,1,半成熟
361,10.9,3.02,919.852,19.4111656838977,1,半成熟
362,10.0,2.92,1100.608,26.0437217206134,0,未成熟
363,10.7,3.01,960.003,18.2299082490955,1,半成熟
364,10.8,2.95,838.166,18.9353932906057,1,半成熟
365,11.2,3.02,1097.377,16.8085568953124,1,半成熟
366,10.6,3.02,894.854,19.6279434746071,1,半成熟
367,10.3,3.01,934.544,24.6048229125166,0,未成熟
368,9.8,3.04,1094.762,24.1151644181117,0,未成熟
369,10.4,2.95,1233.751,21.6357560474843,0,未成熟
370,10.4,2.98,955.696,21.3631914335663,1,半成熟
371,11.1,3.05,991.232,16.5289645745939,1,半成熟
372,11.2,2.96,870.318,14.8241543667376,1,半成熟
373,11.3,3.06,1036.843,13.8816508521307,1,半成熟
374,10.6,3.03,858.088,17.0806310480649,1,半成熟
375,11.3,2.97,987.54,14.9593401113355,1,半成熟
376,11.4,3.02,882.24,15.4987701064829,1,半成熟
377,11.4,3.14,877.163,12.1213650900836,1,半成熟
378,12.5,3.09,756.096,12.0316201106014,1,半成熟
379,11.5,3.02,857.242,14.0378759133028,1,半成熟
380,11.2,2.95,1004.0,14.1152449041915,1,半成熟
381,10.5,3.11,877.24,14.7926011828544,1,半成熟
382,10.7,2.99,1011.692,19.9190165608629,1,半成熟
383,11.5,3.04,1049.458,14.2155255587288,1,半成熟
384,11.7,3.08,895.931,12.947806746072,1,半成熟
385,11.4,3.1,733.021,11.3248475727345,2,成熟
386,10.7,3.0,917.468,21.0198430823163,1,半成熟
387,11.1,3.1,831.782,12.1128303525559,1,半成熟
388,10.8,3.09,832.321,13.4297967879435,1,半成熟
389,11.4,3.02,880.394,14.6157396781079,1,半成熟
390,11.1,2.95,1011.845,19.4538644499336,1,半成熟
391,9.9,3.06,944.158,23.1086681118922,0,未成熟
392,10.7,3.13,725.944,13.9978275582554,1,半成熟
393,11.8,3.04,936.697,12.9352028411403,1,半成熟
394,10.8,3.0,897.931,17.9858846340771,1,半成熟
395,10.3,3.02,1006.307,20.6529735872176,1,半成熟
396,10.3,2.92,1092.378,19.052869144082,1,半成熟
397,11.0,3.11,801.785,12.8127269180663,1,半成熟
398,11.8,3.02,873.702,12.7508949619676,1,半成熟
399,12.3,3.12,701.715,12.1177821185293,2,成熟
400,11.9,3.0,930.159,12.8109272023888,1,半成熟
401,11.0,3.01,944.851,13.9354595620367,1,半成熟
402,11.2,2.96,1018.383,13.2490014463252,1,半成熟
403,12.0,3.17,775.787,9.17421189527983,2,成熟
404,12.3,3.08,923.006,10.7095859938679,1,半成熟
405,11.1,3.14,856.627,11.2452637177626,1,半成熟
406,12.2,3.0,649.489,11.3300411294211,2,成熟
407,12.0,3.09,873.856,12.6915436964863,1,半成熟
408,11.8,3.16,778.709,10.0915763151678,2,成熟
409,11.2,3.11,868.626,12.7659425576671,1,半成熟
410,11.9,3.17,764.941,7.70500038528828,2,成熟
411,11.8,3.14,752.019,8.12679195530641,2,成熟
412,12.7,3.06,788.401,10.8911536458935,1,半成熟
413,11.3,3.23,788.478,11.6732563787933,1,半成熟
414,12.7,3.05,907.546,9.51203654212155,1,半成熟
415,13.4,3.09,710.33,9.66369495842054,2,成熟
416,12.1,3.05,898.316,11.951775491384,1,半成熟
417,11.8,3.01,962.388,11.3957495469105,1,半成熟
418,11.7,3.02,868.318,13.1103452092794,1,半成熟
419,12.8,3.04,571.033,11.8031137782088,2,成熟
420,12.1,3.03,659.026,13.4275694024862,1,半成熟
421,13.0,3.11,873.471,8.73904969579363,1,半成熟
422,12.5,3.23,666.333,6.36294083542451,2,成熟
423,12.1,3.25,787.016,8.11124954924352,2,成熟
424,11.9,3.11,708.176,20.7986680347185,1,半成熟
425,12.6,3.3,586.34,6.15268887821915,2,成熟
426,12.5,3.21,691.332,7.05526783378078,2,成熟
427,12.8,3.29,706.177,5.81842770950557,2,成熟
428,13.0,3.08,645.95,9.03529481864066,2,成熟
429,12.5,3.04,908.469,9.88633882170684,1,半成熟
430,12.7,3.11,801.323,9.88884558819093,2,成熟
431,14.3,3.27,701.177,4.64041673904063,2,成熟
432,11.6,3.23,784.247,7.51795028207512,2,成熟
433,11.5,3.2,676.948,9.26519875541438,2,成熟
434,13.8,3.22,646.72,4.67848068395297,2,成熟
435,13.3,3.31,607.723,4.38104447050738,2,成熟
436,10.8,3.18,651.796,11.0374035828601,2,成熟
437,13.7,3.34,636.028,4.39300953549813,2,成熟
